68,109,0.05
37,79,0.05
26,83,0.2
69,70,0.2
57,66,0.05
64,80,0.05
27,83,0.05
20,32,0.2
31,121,0.2
32,60,0.05
52,87,0.05
45,120,0.05
21,59,0.05
3,15,0.4
78,101,0.6
25,116,0.05
29,116,0.4
88,96,0.8
70,83,0.2
79,112,0.05
46,99,0.2
68,99,0.2
37,62,0.05
74,76,0.95
41,57,0.2
73,109,0.05
15,102,0.05
21,118,0.05
80,90,0.05
69,104,0.6
29,40,0.05
35,91,0.2
7,122,0.4
33,98,0.4
77,112,0.05
36,87,0.05
59,97,0.05
2,32,0.05
51,83,0.6
51,73,0.6
31,59,0.05
31,60,0.8
36,52,0.2
49,68,0.2
19,85,0.05
2,52,0.2
45,73,0.05
19,37,0.05
31,109,0.05
17,104,0.05
24,77,0.05
73,99,0.05
15,94,0.05
5,100,0.05
5,82,0.05
69,90,0.4
62,67,0.05
13,35,0.05
36,68,0.6
76,91,0.2
6,91,0.05
8,116,0.2
15,55,0.2
24,49,0.05
32,91,0.2
40,98,0.05
118,122,0.2
74,101,0.05
77,120,0.2
61,118,0.05
26,79,0.2
12,85,0.05
96,104,0.05
33,53,0.2
5,96,0.4
7,116,0.2
14,32,0.05
64,103,0.05
84,87,0.05
3,60,0.05
3,46,0.6
78,99,0.6
29,56,0.05
32,101,0.05
46,117,0.4
57,107,0.2
79,122,0.2
98,102,0.4
21,80,0.2
12,59,0.6
41,91,0.2
6,40,0.95
80,84,0.2
59,65,0.05
19,120,0.05
7,79,0.05
60,76,0.05
111,112,0.8
36,102,0.05
35,109,0.6
79,116,0.4
52,116,0.05
17,123,0.2
106,107,0.4
90,110,0.6
70,76,0.05
97,106,0.05
19,109,0.05
57,112,0.05
67,122,0.05
15,40,0.05
76,83,0.2
62,97,0.05
21,90,0.2
6,87,0.05
76,79,0.2
53,91,0.2
27,98,0.05
63,125,0.05
57,124,0.2
3,117,0.2
15,125,0.2
44,91,0.6
14,93,0.2
53,69,0.4
34,104,0.2
42,123,0.2
55,76,0.2
13,14,0.05
61,88,0.05
41,73,0.05
21,109,0.2
83,100,0.4
36,49,0.05
5,15,0.05
61,64,0.05
33,70,0.2
24,64,0.4
67,110,0.05
40,53,0.05
20,124,0.2
15,121,0.05
70,94,0.6
12,45,0.05
59,110,0.05
44,107,0.05
109,124,0.2
8,57,0.05
44,121,0.2
13,88,0.4
33,125,0.4
62,118,0.05
56,125,0.2
65,74,0.8
52,53,0.6
116,123,0.2
87,88,0.05
32,118,0.95
80,118,0.05
37,78,0.05
57,67,0.2
64,81,0.05
27,82,0.05
20,31,0.05
32,67,0.05
79,99,0.95
12,118,0.05
19,73,0.4
45,46,0.2
78,100,0.05
25,117,0.05
29,117,0.05
61,101,0.05
70,82,0.2
73,112,0.05
46,98,0.2
12,98,0.05
35,44,0.05
45,49,0.2
68,98,0.2
37,63,0.05
4,80,0.05
33,64,0.4
74,77,0.05
73,106,0.05
15,103,0.8
69,107,0.05
44,59,0.05
35,90,0.05
117,125,0.2
81,87,0.05
31,112,0.05
59,96,0.05
2,33,0.2
68,79,0.05
51,80,0.8
19,94,0.4
74,96,0.2
31,61,0.05
36,53,0.05
2,53,0.2
45,70,0.05
24,76,0.05
73,98,0.05
15,97,0.05
5,101,0.05
5,83,0.2
69,91,0.05
103,109,0.05
62,64,0.8
36,67,0.2
76,96,0.4
7,20,0.6
82,118,0.2
67,104,0.05
32,96,0.2
3,97,0.2
56,81,0.2
118,121,0.05
27,29,0.05
26,33,0.2
74,100,0.2
27,120,0.4
27,118,0.2
59,120,0.05
77,121,0.2
26,78,0.2
110,122,0.2
12,84,0.8
96,103,0.05
33,52,0.05
52,65,0.2
5,91,0.4
91,102,0.05
33,117,0.2
14,33,0.2
64,100,0.05
3,61,0.05
70,110,0.4
73,88,0.05
49,94,0.05
56,101,0.05
64,116,0.05
67,94,0.05
100,106,0.05
33,82,0.05
29,57,0.2
32,100,0.4
65,81,0.05
46,116,0.05
57,100,0.4
79,123,0.8
102,109,0.2
21,83,0.05
49,121,0.2
17,53,0.05
80,85,0.2
7,46,0.2
19,121,0.4
7,78,0.95
6,31,0.05
107,121,0.6
35,88,0.05
52,117,0.05
17,120,0.05
83,116,0.05
90,111,0.05
55,66,0.2
34,93,0.2
34,36,0.8
70,77,0.4
8,76,0.05
97,107,0.6
44,73,0.05
53,70,0.4
15,41,0.05
76,82,0.8
62,96,0.05
53,90,0.2
27,99,0.05
63,124,0.8
15,24,0.05
2,91,0.4
90,117,0.4
57,125,0.2
3,116,0.05
27,74,0.05
44,90,0.8
14,90,0.2
26,97,0.05
36,73,0.95
62,70,0.05
26,94,0.05
27,61,0.05
34,103,0.05
51,94,0.2
41,70,0.05
45,96,0.2
83,103,0.05
15,112,0.05
106,111,0.6
59,125,0.05
63,96,0.2
25,42,0.05
53,100,0.4
24,65,0.05
67,78,0.4
112,118,0.05
67,111,0.05
40,52,0.4
20,125,0.8
32,45,0.2
44,100,0.05
26,104,0.05
56,124,0.05
4,36,0.2
2,78,0.05
3,13,0.05
26,107,0.05
57,64,0.6
40,112,0.95
27,81,0.2
32,66,0.6
52,85,0.05
79,98,0.05
94,124,0.8
19,59,0.05
4,90,0.05
8,46,0.2
19,49,0.2
46,120,0.2
26,124,0.05
88,94,0.2
61,100,0.05
70,81,0.05
14,83,0.4
76,123,0.2
12,99,0.05
35,45,0.2
65,118,0.4
3,74,0.05
20,64,0.95
73,107,0.4
15,100,0.8
13,26,0.05
4,82,0.2
29,42,0.05
35,97,0.05
124,125,0.05
25,125,0.05
36,81,0.2
27,122,0.2
14,41,0.2
31,111,0.05
59,91,0.05
78,125,0.4
68,78,0.2
82,87,0.8
51,81,0.05
15,88,0.05
19,97,0.05
74,97,0.05
15,68,0.05
32,74,0.2
85,88,0.05
15,96,0.2
5,80,0.05
69,96,0.2
25,109,0.95
62,65,0.05
51,102,0.2
36,66,0.05
2,109,0.05
76,97,0.05
7,21,0.6
14,112,0.05
88,124,0.2
26,42,0.05
15,57,0.05
90,123,0.05
37,69,0.4
26,44,0.05
32,97,0.2
3,96,0.2
118,120,0.4
26,32,0.05
74,107,0.05
40,80,0.4
77,122,0.2
61,116,0.2
96,102,0.4
27,49,0.05
103,112,0.05
5,90,0.05
104,125,0.2
6,56,0.05
66,99,0.05
91,103,0.05
33,116,0.4
13,20,0.05
70,111,0.05
87,90,0.2
100,107,0.2
32,103,0.05
65,80,0.05
32,78,0.05
46,111,0.05
57,101,0.2
79,120,0.2
97,117,0.05
69,74,0.2
98,104,0.8
21,82,0.2
88,118,0.2
49,120,0.05
17,52,0.05
41,93,0.2
6,46,0.05
59,67,0.05
80,104,0.2
19,122,0.6
66,107,0.05
20,26,0.05
60,74,0.05
29,87,0.05
52,118,0.2
51,120,0.05
52,109,0.05
17,121,0.2
83,117,0.4
49,116,0.05
34,109,0.2
34,37,0.2
70,74,0.05
8,77,0.05
4,59,0.05
57,110,0.4
53,73,0.2
14,67,0.2
45,109,0.05
15,46,0.05
76,85,0.05
6,85,0.05
53,97,0.4
46,123,0.4
15,25,0.05
57,122,0.4
2,29,0.4
14,91,0.2
36,74,0.05
26,93,0.05
34,102,0.05
85,121,0.4
51,97,0.6
26,123,0.4
63,78,0.6
45,97,0.2
83,102,0.8
106,110,0.2
5,17,0.4
63,97,0.4
36,42,0.2
53,101,0.2
24,66,0.2
67,79,0.2
64,68,0.95
67,112,0.05
40,51,0.2
70,96,0.2
32,44,0.05
59,112,0.8
44,101,0.4
8,55,0.4
4,34,0.05
65,76,0.95
20,49,0.05
6,100,0.05
52,55,0.05
2,79,0.2
3,12,0.05
4,7,0.05
57,65,0.4
41,109,0.05
27,80,0.2
